date,time,qty.dispensed,ili.rate,drug.shortages,drug.rcs,season,temperature,humidity,weather,timestamp,month
1/8/2024,0:00,27,3.7,1,143,Winter,34.5,78,snow,2024-01-08 00:00:00,1
1/8/2024,6:00,30,3.2,0,121,Winter,47.7,32,clear,2024-01-08 06:00:00,1
1/8/2024,12:00,40,5.1,1,139,Winter,31.9,41,clouds,2024-01-08 12:00:00,1
1/8/2024,18:00,24,3.5,0,142,Winter,41.0,75,snow,2024-01-08 18:00:00,1
1/9/2024,0:00,21,2.5,0,146,Winter,39.8,42,clear,2024-01-09 00:00:00,1
1/9/2024,6:00,21,3.3,0,96,Winter,42.3,77,snow,2024-01-09 06:00:00,1
1/9/2024,12:00,25,3.6,0,128,Winter,26.3,89,rain,2024-01-09 12:00:00,1
1/9/2024,18:00,24,2.8,0,120,Winter,38.2,80,snow,2024-01-09 18:00:00,1
1/10/2024,0:00,16,3.4,0,105,Winter,34.1,94,snow,2024-01-10 00:00:00,1
1/10/2024,6:00,30,4.4,0,135,Winter,29.8,35,clear,2024-01-10 06:00:00,1
1/10/2024,12:00,21,2.5,0,101,Winter,33.1,40,clear,2024-01-10 12:00:00,1
1/10/2024,18:00,24,2.7,1,138,Winter,33.2,74,rain,2024-01-10 18:00:00,1
1/11/2024,0:00,33,3.6,0,127,Winter,37.8,38,clear,2024-01-11 00:00:00,1
1/11/2024,6:00,21,3.5,0,93,Winter,24.6,44,clear,2024-01-11 06:00:00,1
1/11/2024,12:00,25,3.8,0,136,Winter,32.9,47,clouds,2024-01-11 12:00:00,1
1/11/2024,18:00,33,4.0,0,130,Winter,28.6,86,snow,2024-01-11 18:00:00,1
1/12/2024,0:00,22,2.9,0,115,Winter,21.6,65,clouds,2024-01-12 00:00:00,1
1/12/2024,6:00,27,3.7,0,129,Winter,34.1,94,snow,2024-01-12 06:00:00,1
1/12/2024,12:00,28,3.2,1,106,Winter,36.6,38,clear,2024-01-12 12:00:00,1
1/12/2024,18:00,14,1.9,0,105,Winter,32.6,62,clouds,2024-01-12 18:00:00,1
1/13/2024,0:00,45,3.9,0,149,Winter,33.0,90,snow,2024-01-13 00:00:00,1
1/13/2024,6:00,38,4.4,0,159,Winter,19.7,37,clear,2024-01-13 06:00:00,1
1/13/2024,12:00,43,4.3,0,140,Winter,27.9,83,snow,2024-01-13 12:00:00,1
1/13/2024,18:00,36,3.9,1,154,Winter,32.2,74,snow,2024-01-13 18:00:00,1
1/14/2024,0:00,36,4.3,1,122,Winter,23.2,34,clear,2024-01-14 00:00:00,1
1/14/2024,6:00,27,4.6,0,102,Winter,28.4,80,snow,2024-01-14 06:00:00,1
1/14/2024,12:00,26,2.8,0,111,Winter,33.1,45,clear,2024-01-14 12:00:00,1
1/14/2024,18:00,44,4.6,0,135,Winter,23.8,82,rain,2024-01-14 18:00:00,1
1/15/2024,0:00,29,3.2,1,102,Winter,31.0,60,clouds,2024-01-15 00:00:00,1
1/15/2024,6:00,32,4.5,0,117,Winter,26.4,83,snow,2024-01-15 06:00:00,1
1/15/2024,12:00,25,3.2,0,131,Winter,34.0,64,clouds,2024-01-15 12:00:00,1
1/15/2024,18:00,48,5.1,1,159,Winter,17.5,81,snow,2024-01-15 18:00:00,1
1/16/2024,0:00,25,4.3,0,117,Winter,28.5,90,snow,2024-01-16 00:00:00,1
1/16/2024,6:00,22,3.7,1,111,Winter,28.2,64,rain,2024-01-16 06:00:00,1
1/16/2024,12:00,28,4.4,0,155,Winter,31.1,33,clear,2024-01-16 12:00:00,1
1/16/2024,18:00,30,3.8,0,96,Winter,36.0,79,snow,2024-01-16 18:00:00,1
1/17/2024,0:00,28,3.5,0,131,Winter,36.4,48,clouds,2024-01-17 00:00:00,1
1/17/2024,6:00,35,3.8,0,145,Winter,39.3,38,clear,2024-01-17 06:00:00,1
1/17/2024,12:00,22,5.0,0,96,Winter,29.3,54,clouds,2024-01-17 12:00:00,1
1/17/2024,18:00,31,3.3,1,116,Winter,36.7,36,clear,2024-01-17 18:00:00,1
1/18/2024,0:00,44,4.5,0,151,Winter,30.7,71,snow,2024-01-18 00:00:00,1
1/18/2024,6:00,33,3.7,0,122,Winter,28.7,41,clear,2024-01-18 06:00:00,1
1/18/2024,12:00,23,2.5,0,122,Winter,35.0,83,rain,2024-01-18 12:00:00,1
1/18/2024,18:00,35,2.6,0,126,Winter,34.9,61,rain,2024-01-18 18:00:00,1
1/19/2024,0:00,26,2.9,0,155,Winter,42.0,30,clear,2024-01-19 00:00:00,1
1/19/2024,6:00,21,3.4,0,108,Winter,22.8,65,rain,2024-01-19 06:00:00,1
1/19/2024,12:00,29,4.0,0,114,Winter,34.3,91,snow,2024-01-19 12:00:00,1
1/19/2024,18:00,33,3.4,0,157,Winter,34.0,37,clear,2024-01-19 18:00:00,1
1/20/2024,0:00,23,3.7,0,149,Winter,17.4,61,rain,2024-01-20 00:00:00,1
1/20/2024,6:00,41,4.3,0,158,Winter,34.5,50,clouds,2024-01-20 06:00:00,1
1/20/2024,12:00,28,3.6,0,117,Winter,17.4,83,rain,2024-01-20 12:00:00,1
1/20/2024,18:00,28,3.5,0,119,Winter,21.5,89,rain,2024-01-20 18:00:00,1
1/21/2024,0:00,22,2.4,0,126,Winter,37.6,65,clouds,2024-01-21 00:00:00,1
1/21/2024,6:00,23,2.6,0,117,Winter,44.9,52,clear,2024-01-21 06:00:00,1
1/21/2024,12:00,27,3.9,0,130,Winter,26.7,30,clear,2024-01-21 12:00:00,1
1/21/2024,18:00,43,4.4,0,145,Winter,13.9,39,clear,2024-01-21 18:00:00,1
1/22/2024,0:00,31,4.1,0,127,Winter,28.3,64,rain,2024-01-22 00:00:00,1
1/22/2024,6:00,26,3.2,0,148,Winter,21.1,77,rain,2024-01-22 06:00:00,1
1/22/2024,12:00,26,4.4,1,136,Winter,17.2,36,clear,2024-01-22 12:00:00,1
1/22/2024,18:00,26,3.8,0,125,Winter,37.3,81,snow,2024-01-22 18:00:00,1
1/23/2024,0:00,18,2.5,0,130,Winter,34.5,47,clear,2024-01-23 00:00:00,1
1/23/2024,6:00,36,3.9,1,146,Winter,24.5,80,rain,2024-01-23 06:00:00,1
1/23/2024,12:00,38,4.6,0,148,Winter,26.6,84,snow,2024-01-23 12:00:00,1
1/23/2024,18:00,32,4.4,0,135,Winter,30.9,31,clear,2024-01-23 18:00:00,1
1/24/2024,0:00,31,3.8,0,169,Winter,38.7,81,snow,2024-01-24 00:00:00,1
1/24/2024,6:00,43,5.2,1,163,Winter,31.5,53,clouds,2024-01-24 06:00:00,1
1/24/2024,12:00,35,3.7,0,123,Winter,40.6,31,clear,2024-01-24 12:00:00,1
1/24/2024,18:00,23,3.5,1,157,Winter,36.0,92,snow,2024-01-24 18:00:00,1
1/25/2024,0:00,35,3.7,0,145,Winter,30.8,51,clear,2024-01-25 00:00:00,1
1/25/2024,6:00,23,3.5,0,140,Winter,35.8,74,snow,2024-01-25 06:00:00,1
1/25/2024,12:00,16,3.8,0,109,Winter,30.0,87,rain,2024-01-25 12:00:00,1
1/25/2024,18:00,31,3.9,1,110,Winter,24.3,89,snow,2024-01-25 18:00:00,1
1/26/2024,0:00,38,5.1,0,133,Winter,23.2,48,clouds,2024-01-26 00:00:00,1
1/26/2024,6:00,36,4.9,0,133,Winter,29.0,80,snow,2024-01-26 06:00:00,1
1/26/2024,12:00,34,3.9,0,137,Winter,29.3,74,rain,2024-01-26 12:00:00,1
1/26/2024,18:00,31,4.0,0,144,Winter,33.3,70,snow,2024-01-26 18:00:00,1
1/27/2024,0:00,28,2.9,1,127,Winter,33.1,46,clear,2024-01-27 00:00:00,1
1/27/2024,6:00,38,3.7,0,120,Winter,24.1,40,clear,2024-01-27 06:00:00,1
1/27/2024,12:00,32,3.5,0,142,Winter,34.2,56,clouds,2024-01-27 12:00:00,1
1/27/2024,18:00,31,2.6,0,130,Winter,33.3,67,clouds,2024-01-27 18:00:00,1
1/28/2024,0:00,13,2.6,0,126,Winter,38.5,48,clear,2024-01-28 00:00:00,1
1/28/2024,6:00,28,4.0,0,133,Winter,21.4,67,rain,2024-01-28 06:00:00,1
1/28/2024,12:00,23,3.3,0,157,Winter,41.8,30,clear,2024-01-28 12:00:00,1
1/28/2024,18:00,34,4.8,0,158,Winter,29.2,87,snow,2024-01-28 18:00:00,1
1/29/2024,0:00,28,3.3,0,104,Winter,25.0,67,rain,2024-01-29 00:00:00,1
1/29/2024,6:00,28,3.4,0,122,Winter,37.6,82,snow,2024-01-29 06:00:00,1
1/29/2024,12:00,23,4.1,0,92,Winter,28.0,47,clear,2024-01-29 12:00:00,1
1/29/2024,18:00,25,4.4,0,92,Winter,22.6,35,clear,2024-01-29 18:00:00,1
1/30/2024,0:00,32,3.5,0,128,Winter,23.4,51,clear,2024-01-30 00:00:00,1
1/30/2024,6:00,24,2.6,1,111,Winter,33.9,30,clear,2024-01-30 06:00:00,1
1/30/2024,12:00,37,4.5,0,134,Winter,26.8,89,snow,2024-01-30 12:00:00,1
1/30/2024,18:00,27,4.5,0,113,Winter,25.9,30,clear,2024-01-30 18:00:00,1
1/31/2024,0:00,23,4.3,1,139,Winter,30.4,72,snow,2024-01-31 00:00:00,1
1/31/2024,6:00,32,4.1,1,153,Winter,30.3,87,rain,2024-01-31 06:00:00,1
1/31/2024,12:00,27,3.5,0,147,Winter,32.9,57,clouds,2024-01-31 12:00:00,1
1/31/2024,18:00,28,3.6,1,112,Winter,25.7,69,rain,2024-01-31 18:00:00,1
2/1/2024,0:00,28,3.0,1,123,Winter,38.7,38,clear,2024-02-01 00:00:00,2
2/1/2024,6:00,25,3.1,0,129,Winter,27.4,51,clear,2024-02-01 06:00:00,2
2/1/2024,12:00,31,3.9,0,112,Winter,21.3,30,clear,2024-02-01 12:00:00,2
2/1/2024,18:00,42,4.8,0,146,Winter,28.5,53,clouds,2024-02-01 18:00:00,2
2/2/2024,0:00,28,4.3,0,140,Winter,24.1,30,clear,2024-02-02 00:00:00,2
2/2/2024,6:00,36,3.8,1,139,Winter,32.9,77,snow,2024-02-02 06:00:00,2
2/2/2024,12:00,32,3.5,0,124,Winter,35.0,30,clear,2024-02-02 12:00:00,2
2/2/2024,18:00,27,2.6,0,113,Winter,39.6,69,clouds,2024-02-02 18:00:00,2
2/3/2024,0:00,33,3.7,0,151,Winter,27.1,73,rain,2024-02-03 00:00:00,2
2/3/2024,6:00,34,3.4,0,126,Winter,35.2,87,snow,2024-02-03 06:00:00,2
2/3/2024,12:00,33,4.5,0,141,Winter,23.3,46,clouds,2024-02-03 12:00:00,2
2/3/2024,18:00,37,4.5,0,155,Winter,24.9,78,snow,2024-02-03 18:00:00,2
2/4/2024,0:00,27,4.8,0,95,Winter,30.9,45,clouds,2024-02-04 00:00:00,2
2/4/2024,6:00,31,4.2,0,149,Winter,14.2,54,clear,2024-02-04 06:00:00,2
2/4/2024,12:00,28,3.2,0,96,Winter,36.8,86,rain,2024-02-04 12:00:00,2
2/4/2024,18:00,35,4.0,0,141,Winter,31.3,85,rain,2024-02-04 18:00:00,2
2/5/2024,0:00,26,3.7,0,107,Winter,26.6,88,rain,2024-02-05 00:00:00,2
2/5/2024,6:00,25,2.8,0,120,Winter,40.5,44,clear,2024-02-05 06:00:00,2
2/5/2024,12:00,26,3.5,1,129,Winter,19.5,47,clear,2024-02-05 12:00:00,2
2/5/2024,18:00,28,2.1,1,104,Winter,45.2,51,clear,2024-02-05 18:00:00,2
2/6/2024,0:00,21,3.4,0,106,Winter,23.3,61,clouds,2024-02-06 00:00:00,2
2/6/2024,6:00,25,4.0,0,136,Winter,27.3,79,snow,2024-02-06 06:00:00,2
2/6/2024,12:00,22,2.1,0,117,Winter,35.5,44,clear,2024-02-06 12:00:00,2
2/6/2024,18:00,29,4.3,0,143,Winter,28.9,71,snow,2024-02-06 18:00:00,2
2/7/2024,0:00,27,3.7,0,122,Winter,30.9,50,clear,2024-02-07 00:00:00,2
2/7/2024,6:00,25,3.9,1,108,Winter,43.0,92,snow,2024-02-07 06:00:00,2
2/7/2024,12:00,31,4.7,0,112,Winter,25.2,89,snow,2024-02-07 12:00:00,2
2/7/2024,18:00,41,4.7,1,142,Winter,29.8,71,snow,2024-02-07 18:00:00,2
2/8/2024,0:00,29,3.5,0,127,Winter,34.1,38,clear,2024-02-08 00:00:00,2
2/8/2024,6:00,29,3.7,0,147,Winter,21.9,82,rain,2024-02-08 06:00:00,2
2/8/2024,12:00,34,3.3,0,136,Winter,22.3,66,clouds,2024-02-08 12:00:00,2
2/8/2024,18:00,22,3.6,0,113,Winter,35.2,82,snow,2024-02-08 18:00:00,2
2/9/2024,0:00,36,4.3,1,153,Winter,22.3,60,rain,2024-02-09 00:00:00,2
2/9/2024,6:00,23,3.6,0,114,Winter,24.3,78,rain,2024-02-09 06:00:00,2
2/9/2024,12:00,34,4.7,0,141,Winter,25.8,40,clouds,2024-02-09 12:00:00,2
2/9/2024,18:00,21,3.1,0,97,Winter,20.1,64,clouds,2024-02-09 18:00:00,2
2/10/2024,0:00,38,3.8,0,127,Winter,35.5,50,clouds,2024-02-10 00:00:00,2
2/10/2024,6:00,17,2.6,0,132,Winter,32.6,49,clear,2024-02-10 06:00:00,2
2/10/2024,12:00,17,2.4,0,134,Winter,34.1,45,clear,2024-02-10 12:00:00,2
2/10/2024,18:00,27,3.4,0,117,Winter,23.9,64,clouds,2024-02-10 18:00:00,2
2/11/2024,0:00,39,5.2,0,125,Winter,30.6,73,snow,2024-02-11 00:00:00,2
2/11/2024,6:00,22,2.9,0,112,Winter,28.3,49,clear,2024-02-11 06:00:00,2
2/11/2024,12:00,31,3.5,1,141,Winter,36.8,76,snow,2024-02-11 12:00:00,2
2/11/2024,18:00,24,4.4,0,114,Winter,31.5,72,snow,2024-02-11 18:00:00,2
2/12/2024,0:00,35,4.3,0,138,Winter,22.8,84,snow,2024-02-12 00:00:00,2
2/12/2024,6:00,27,4.8,0,119,Winter,30.8,80,snow,2024-02-12 06:00:00,2
2/12/2024,12:00,29,4.4,1,119,Winter,29.7,74,snow,2024-02-12 12:00:00,2
2/12/2024,18:00,24,3.7,0,110,Winter,12.9,48,clear,2024-02-12 18:00:00,2
2/13/2024,0:00,34,4.4,0,135,Winter,31.7,53,clouds,2024-02-13 00:00:00,2
2/13/2024,6:00,24,3.6,0,139,Winter,28.5,63,clouds,2024-02-13 06:00:00,2
2/13/2024,12:00,26,3.2,0,136,Winter,39.6,32,clear,2024-02-13 12:00:00,2
2/13/2024,18:00,19,2.7,0,99,Winter,35.8,63,rain,2024-02-13 18:00:00,2
2/14/2024,0:00,30,3.9,0,113,Winter,20.9,67,rain,2024-02-14 00:00:00,2
2/14/2024,6:00,22,4.3,1,118,Winter,31.3,77,snow,2024-02-14 06:00:00,2
2/14/2024,12:00,27,3.3,0,130,Winter,35.0,46,clouds,2024-02-14 12:00:00,2
2/14/2024,18:00,23,2.5,0,133,Winter,34.5,54,clear,2024-02-14 18:00:00,2
2/15/2024,0:00,27,3.5,0,130,Winter,18.2,87,rain,2024-02-15 00:00:00,2
2/15/2024,6:00,29,4.5,0,140,Winter,26.7,71,snow,2024-02-15 06:00:00,2
2/15/2024,12:00,33,4.8,0,127,Winter,26.9,82,snow,2024-02-15 12:00:00,2
2/15/2024,18:00,33,4.7,0,159,Winter,31.3,90,snow,2024-02-15 18:00:00,2
2/16/2024,0:00,32,4.1,0,144,Winter,27.1,37,clear,2024-02-16 00:00:00,2
2/16/2024,6:00,22,4.6,1,131,Winter,30.9,70,snow,2024-02-16 06:00:00,2
2/16/2024,12:00,28,3.4,0,135,Winter,28.0,42,clear,2024-02-16 12:00:00,2
2/16/2024,18:00,21,3.5,0,136,Winter,34.3,80,snow,2024-02-16 18:00:00,2
2/17/2024,0:00,26,3.1,0,99,Winter,41.8,41,clear,2024-02-17 00:00:00,2
2/17/2024,6:00,33,5.1,0,106,Winter,27.4,41,clouds,2024-02-17 06:00:00,2
2/17/2024,12:00,25,3.1,1,132,Winter,42.4,52,clear,2024-02-17 12:00:00,2
2/17/2024,18:00,25,2.8,0,122,Winter,36.0,63,rain,2024-02-17 18:00:00,2
2/18/2024,0:00,32,5.0,0,139,Winter,29.2,85,snow,2024-02-18 00:00:00,2
2/18/2024,6:00,35,3.6,1,152,Winter,14.4,70,rain,2024-02-18 06:00:00,2
2/18/2024,12:00,34,3.7,0,153,Winter,32.3,74,snow,2024-02-18 12:00:00,2
2/18/2024,18:00,23,2.5,1,135,Winter,36.8,53,clear,2024-02-18 18:00:00,2
2/19/2024,0:00,32,4.7,0,130,Winter,28.4,84,snow,2024-02-19 00:00:00,2
2/19/2024,6:00,37,4.9,0,138,Winter,30.4,90,snow,2024-02-19 06:00:00,2
2/19/2024,12:00,29,3.2,1,162,Winter,30.0,66,clouds,2024-02-19 12:00:00,2
2/19/2024,18:00,32,4.5,0,164,Winter,29.7,49,clouds,2024-02-19 18:00:00,2
2/20/2024,0:00,24,3.3,1,136,Winter,18.5,65,clouds,2024-02-20 00:00:00,2
2/20/2024,6:00,17,3.1,0,100,Winter,35.9,61,rain,2024-02-20 06:00:00,2
2/20/2024,12:00,34,3.4,1,131,Winter,28.8,40,clear,2024-02-20 12:00:00,2
2/20/2024,18:00,29,3.7,0,129,Winter,31.0,66,rain,2024-02-20 18:00:00,2
2/21/2024,0:00,30,3.9,0,116,Winter,36.4,85,snow,2024-02-21 00:00:00,2
2/21/2024,6:00,22,2.3,1,114,Winter,45.6,38,clear,2024-02-21 06:00:00,2
2/21/2024,12:00,24,2.8,0,113,Winter,33.4,36,clear,2024-02-21 12:00:00,2
2/21/2024,18:00,24,3.7,0,162,Winter,32.8,86,snow,2024-02-21 18:00:00,2
2/22/2024,0:00,22,3.8,0,127,Winter,29.2,87,rain,2024-02-22 00:00:00,2
2/22/2024,6:00,23,1.7,0,104,Winter,50.1,51,clear,2024-02-22 06:00:00,2
2/22/2024,12:00,28,3.5,0,124,Winter,36.2,79,snow,2024-02-22 12:00:00,2
2/22/2024,18:00,21,3.6,0,110,Winter,30.4,54,clear,2024-02-22 18:00:00,2
2/23/2024,0:00,31,3.5,0,145,Winter,32.4,75,snow,2024-02-23 00:00:00,2
2/23/2024,6:00,18,2.1,0,123,Winter,45.4,47,clear,2024-02-23 06:00:00,2
2/23/2024,12:00,27,3.4,0,112,Winter,38.3,38,clear,2024-02-23 12:00:00,2
2/23/2024,18:00,17,3.8,0,98,Winter,33.2,54,clouds,2024-02-23 18:00:00,2
2/24/2024,0:00,27,4.5,0,139,Winter,25.9,72,snow,2024-02-24 00:00:00,2
2/24/2024,6:00,19,4.6,0,129,Winter,27.6,43,clouds,2024-02-24 06:00:00,2
2/24/2024,12:00,36,4.8,0,159,Winter,29.4,83,snow,2024-02-24 12:00:00,2
2/24/2024,18:00,27,3.4,0,101,Winter,39.9,90,snow,2024-02-24 18:00:00,2
2/25/2024,0:00,24,4.4,0,110,Winter,30.6,87,snow,2024-02-25 00:00:00,2
2/25/2024,6:00,30,3.4,0,113,Winter,32.3,84,snow,2024-02-25 06:00:00,2
2/25/2024,12:00,30,4.1,0,143,Winter,18.0,39,clear,2024-02-25 12:00:00,2
2/25/2024,18:00,19,3.7,0,105,Winter,23.0,44,clear,2024-02-25 18:00:00,2
2/26/2024,0:00,38,4.7,0,135,Winter,30.6,72,snow,2024-02-26 00:00:00,2
2/26/2024,6:00,22,3.5,1,120,Winter,26.1,69,clouds,2024-02-26 06:00:00,2
2/26/2024,12:00,32,3.4,0,142,Winter,34.6,45,clouds,2024-02-26 12:00:00,2
2/26/2024,18:00,29,3.7,0,154,Winter,35.1,77,snow,2024-02-26 18:00:00,2
2/27/2024,0:00,26,3.3,1,113,Winter,30.1,66,clouds,2024-02-27 00:00:00,2
2/27/2024,6:00,26,3.6,0,118,Winter,14.3,67,rain,2024-02-27 06:00:00,2
2/27/2024,12:00,32,4.6,0,147,Winter,28.3,80,snow,2024-02-27 12:00:00,2
2/27/2024,18:00,12,2.6,0,101,Winter,45.3,39,clear,2024-02-27 18:00:00,2
2/28/2024,0:00,30,3.9,0,115,Winter,43.1,85,snow,2024-02-28 00:00:00,2
2/28/2024,6:00,36,4.1,0,124,Winter,32.0,81,snow,2024-02-28 06:00:00,2
2/28/2024,12:00,32,4.5,0,106,Winter,24.3,80,snow,2024-02-28 12:00:00,2
2/28/2024,18:00,31,3.7,0,147,Winter,12.1,73,rain,2024-02-28 18:00:00,2
2/29/2024,0:00,25,3.5,0,127,Winter,31.5,46,clear,2024-02-29 00:00:00,2
2/29/2024,6:00,35,3.0,0,148,Winter,35.9,39,clear,2024-02-29 06:00:00,2
2/29/2024,12:00,30,3.3,0,136,Winter,35.9,33,clear,2024-02-29 12:00:00,2
2/29/2024,18:00,23,3.7,0,113,Winter,32.9,39,clear,2024-02-29 18:00:00,2
3/1/2024,0:00,19,1.6,0,110,Spring,43.1,86,rain,2024-03-01 00:00:00,3
3/1/2024,6:00,14,1.0,0,102,Spring,53.4,73,rain,2024-03-01 06:00:00,3
3/1/2024,12:00,17,1.9,0,125,Spring,55.5,47,clouds,2024-03-01 12:00:00,3
3/1/2024,18:00,17,1.5,1,98,Spring,50.4,33,clear,2024-03-01 18:00:00,3
3/2/2024,0:00,20,1.0,0,130,Spring,50.8,82,rain,2024-03-02 00:00:00,3
3/2/2024,6:00,16,1.4,0,109,Spring,49.9,38,clear,2024-03-02 06:00:00,3
3/2/2024,12:00,26,1.9,0,128,Spring,39.9,66,rain,2024-03-02 12:00:00,3
3/2/2024,18:00,20,1.4,0,156,Spring,58.1,49,clear,2024-03-02 18:00:00,3
3/3/2024,0:00,21,1.0,1,105,Spring,54.1,53,clear,2024-03-03 00:00:00,3
3/3/2024,6:00,17,1.6,0,121,Spring,48.1,64,rain,2024-03-03 06:00:00,3
3/3/2024,12:00,16,0.5,1,121,Spring,65.7,30,clear,2024-03-03 12:00:00,3
3/3/2024,18:00,15,0.9,0,106,Spring,57.9,60,clouds,2024-03-03 18:00:00,3
3/4/2024,0:00,12,1.0,0,118,Spring,63.0,55,clouds,2024-03-04 00:00:00,3
3/4/2024,6:00,16,1.2,0,129,Spring,58.6,36,clear,2024-03-04 06:00:00,3
3/4/2024,12:00,14,1.2,0,121,Spring,50.5,85,rain,2024-03-04 12:00:00,3
3/4/2024,18:00,13,0.9,0,95,Spring,62.7,43,clouds,2024-03-04 18:00:00,3
3/5/2024,0:00,19,1.6,1,103,Spring,55.6,32,clear,2024-03-05 00:00:00,3
3/5/2024,6:00,11,0.9,0,93,Spring,63.9,53,clear,2024-03-05 06:00:00,3
3/5/2024,12:00,13,1.1,0,129,Spring,54.0,66,clouds,2024-03-05 12:00:00,3
3/5/2024,18:00,22,1.7,0,109,Spring,54.7,39,clear,2024-03-05 18:00:00,3
3/6/2024,0:00,20,1.4,0,105,Spring,47.3,30,clear,2024-03-06 00:00:00,3
3/6/2024,6:00,13,1.6,0,117,Spring,54.6,87,rain,2024-03-06 06:00:00,3
3/6/2024,12:00,26,1.1,0,124,Spring,72.8,53,clear,2024-03-06 12:00:00,3
3/6/2024,18:00,19,1.3,0,136,Spring,45.9,43,clouds,2024-03-06 18:00:00,3
3/7/2024,0:00,13,1.0,1,99,Spring,59.6,30,clear,2024-03-07 00:00:00,3
3/7/2024,6:00,19,0.7,0,130,Spring,47.5,47,clear,2024-03-07 06:00:00,3
3/7/2024,12:00,14,1.6,0,107,Spring,50.8,52,clouds,2024-03-07 12:00:00,3
3/7/2024,18:00,18,1.3,0,105,Spring,52.6,50,clear,2024-03-07 18:00:00,3
3/8/2024,0:00,26,1.9,0,137,Spring,44.0,81,rain,2024-03-08 00:00:00,3
3/8/2024,6:00,25,2.4,1,128,Spring,41.0,55,clouds,2024-03-08 06:00:00,3
3/8/2024,12:00,21,1.7,0,97,Spring,37.1,84,rain,2024-03-08 12:00:00,3
3/8/2024,18:00,16,0.8,0,93,Spring,47.4,37,clear,2024-03-08 18:00:00,3
3/9/2024,0:00,18,1.0,0,95,Spring,61.6,46,clear,2024-03-09 00:00:00,3
3/9/2024,6:00,7,0.1,0,118,Spring,63.0,43,clear,2024-03-09 06:00:00,3
3/9/2024,12:00,16,0.6,0,82,Spring,75.6,34,clear,2024-03-09 12:00:00,3
3/9/2024,18:00,18,0.9,0,115,Spring,63.1,77,rain,2024-03-09 18:00:00,3
3/10/2024,0:00,15,1.6,0,107,Spring,49.7,82,rain,2024-03-10 00:00:00,3
3/10/2024,6:00,17,1.1,1,103,Spring,51.9,53,clear,2024-03-10 06:00:00,3
3/10/2024,12:00,13,0.9,0,103,Spring,55.7,61,clouds,2024-03-10 12:00:00,3
3/10/2024,18:00,18,1.2,0,120,Spring,45.4,38,clear,2024-03-10 18:00:00,3
3/11/2024,0:00,20,0.9,0,112,Spring,53.7,67,rain,2024-03-11 00:00:00,3
3/11/2024,6:00,17,1.9,0,148,Spring,58.2,45,clouds,2024-03-11 06:00:00,3
